title,type,ontology/birthDate,ontology/deathDate,ontology/deathCause_label
Dan_Fellows_Platt,Other,1873-06-10,1937-12-16,Pneumonia
Dan_Frazer,Artist,1921-11-20,2011-12-16,Cardiac arrest
Dan_Kerrigan,Other,,1880-01-26,Pneumonia
Dan_Massey,Activist,1942-12-26,2013-01-28,Cancer
Dandridge_MacFarlan_Cole,Other,1921-02-19,1965-10-29,Myocardial infarction
Daniel_Burke_(executive),Other,1929-02-04,2011-10-26,Diabetes mellitus
Daniel_Gélin,Artist,1921-05-19,2002-11-29,Renal failure
Daniel_J._Bernstein_(businessman),Businessperson,1918-09-20,1970-08-20,Leukemia
Daniel_Parke_Custis,Other,1711-10-15,1757-07-08,Myocardial infarction
Ed_Fouhy,Other,1934-11-30,2015-05-13,Cancer
Ed_McNamara,Artist,,1986-10-11,Pancreatitis
Edarem,Other,1932-09-27,2012-01-08,Lung cancer
Edd_Gould,Other,1988-10-28,2012-03-25,Cancer
Eddie_Collins_(actor),Artist,1883-01-30,1940-09-02,Myocardial infarction
Eddie_Laughton,Artist,1903-06-20,1952-03-21,Pneumonia
Eddie_Parker_(actor),Artist,1900-12-12,1960-01-20,Myocardial infarction
Edgar_Barrier,Artist,1907-03-04,1964-06-20,Myocardial infarction
Edgar_Dearing,Artist,1893-05-04,1974-08-17,Lung cancer
Edith_Luckett_Davis,Artist,1888-07-16,1987-10-27,Stroke
Edmund_Moster,Businessperson,1873-08-24,,The Holocaust
Edmund_Quincy_(1681–1737),Other,,,Smallpox
Edmund_Roberts_(diplomat),Other,1784-06-29,1836-06-12,Dysentery
Edmund_T._Allen,Other,1896-01-04,1943-02-18,Aviation accidents and incidents
Edna_Kramer,Other,1902-05-11,1984-07-09,Parkinson's disease
Edson_Luís_de_Lima_Souto,Other,1950-02-24,1968-03-28,Military Police (Brazil)
Eduard_Franz,Artist,1902-10-31,1987-02-10,Disease
Edward_Alfred_Cowper,Other,1819-12-10,1893-05-09,Pneumonia
Edward_Ellis_(actor),Artist,1870-11-12,1952-07-26,Prostate cancer
Edward_Everett_Cox,Other,1867-12-29,1931-04-01,Myocardial infarction
Edward_Grady_Partin,Other,1924-02-27,1990-03-11,Cardiovascular disease
Edward_Groesbeck_Voss,Other,1929-02-22,2012-02-13,Cerebral hemorrhage
Edward_J._Lakso,Artist,1932-09-20,2009-05-23,Parkinson's disease
Edward_Oldcorne,Other,,1606-04-07,Hanged drawn and quartered
Edward_R._Ladew,Businessperson,1855-02-18,1905-08-30,Cirrhosis
Edward_Rondthaler,Other,1905-06-09,2009-08-19,Death by natural causes
Edward_Sedgwick,Artist,1889-11-07,1953-03-07,Myocardial infarction
Edward_Stobart,Businessperson,1954-11-21,2011-03-31,Myocardial infarction
Edward_T._Bartlett,Other,1841-06-14,1910-05-03,Cardiovascular disease
Edward_W._Hooper,Other,1839-12-14,1901-06-25,Pneumonia
Edwin_D._Morgan_(businessman),Businessperson,1921-02-16,2001-06-28,Cancer
Edwin_Harrison_McHenry,Other,1859-01-25,1931-08-21,Cerebral hemorrhage
Egon_Schultz,Other,1943-01-04,1964-10-05,Friendly fire
Eileen_Sedgwick,Artist,"['1898-10-15', '1898-10-17']",1991-03-15,Pneumonia
Elaine_Hammerstein,Artist,1897-06-16,1948-08-13,Traffic collision
Elaine_Lorillard,Other,1914-10-11,2007-11-26,Infection
Elemo_Qiltu,Other,,,Battle of Tiro
Eleonora_Rossi_Drago,Artist,1925-09-23,2007-12-02,Cerebral hemorrhage
Eliana_Ramos,Other,1988-12-23,2007-02-13,Myocardial infarction
Eliza_Emily_Chappell_Porter,Other,1807-11-05,1888-01-01,Pneumonia
Elizabeth_Choy,Other,1910-11-29,2006-09-14,Pancreatic cancer
Elizabeth_Peña,Artist,1959-09-23,2014-10-14,Cirrhosis
Elling_Woman,Other,,,Hanging
Elmer_Clifton,Artist,1890-03-14,1949-10-15,Cerebral hemorrhage
Eloise_Blaine_Cram,Other,1896-06-11,1957-02-09,Bone tumor
Elsie_Paroubek,Other,,1911-04-08,Strangling
Emery_Bopp,Artist,1924-05-13,2007-02-01,Alzheimer's disease
Emil_Balslev,Other,1913-09-19,1944-06-23,Execution by firing squad
Emmitt_Douglas,Businessperson,1926-10-14,1981-03-25,Myocardial infarction
Emmy_Andriesse,Other,1914-01-14,1953-02-20,Cancer
Emrys_Jones_(actor),Artist,1915-09-22,1972-07-10,Myocardial infarction
Enrico_Maria_Salerno,Artist,1926-09-18,1994-02-28,Lung cancer
Earnest_Sevier_Cox,Activist,1880-01-24,1966-04-26,Chronic obstructive pulmonary disease
Epes_Randolph,Other,1856-08-16,1921-08-22,Pulmonary hemorrhage
Erastus_Wiman,Other,1834-04-21,1904-02-09,Stroke
Erica_Andrews,Other,1969-09-30,2013-03-11,Lower respiratory tract infection
Erich_Šlomović,Other,,,The Holocaust
Erik_Briand_Clausen,Other,1901-01-24,1945-03-29,Execution by firing squad
Erik_Crone_(resistance_member),Other,1919-05-29,1945-02-27,Execution by firing squad
Erna_Kelm,Other,1908-07-21,1962-06-11,Republikflucht
Ernest_Boyd_MacNaughton,Other,1880-10-22,1960-08-24,Cancer
Ernest_Cushing_Richardson,Other,1860-02-09,"['1939-06-03', '1939-06-29']",Angina pectoris
Ernest_Eldridge,Other,1897-07-18,1937-10-27,Pneumonia
Ernesto_Alonso,Other,1917-02-28,2007-08-07,Pneumonia
Ernie_Baron,Other,1940-08-15,2006-01-23,Myocardial infarction
Estelle_Getty,Artist,1923-07-25,2008-07-22,Dementia with Lewy bodies
Ethel_Bliss_Platt,Other,1881-10-25,,Stroke
Ethma_Odum,Other,1931-06-23,2009-03-22,Alzheimer's disease
Eugene_Allen,Other,1919-07-14,2010-03-31,Renal failure
Eugene_Gaudio,Other,1886-12-31,1920-08-01,Appendicitis
Eugene_V._Klein,Businessperson,1921-01-29,1990-03-12,Myocardial infarction
Eunice_W._Johnson,Businessperson,1916-04-04,2010-01-03,Renal failure
Eva_Dugan,Other,,1930-02-21,Decapitation
Eva_and_Abraham_Beem,Other,"['1932-05-21', '1934-06-03']",1944-03-06,Gas chamber
Evan_Chandler,Artist,1944-01-25,2009-11-05,Suicide
Evan_O'Neill_Kane,Other,1861-04-06,1932-04-01,Pneumonia
Evarts_Ambrose_Graham,Other,1883-03-19,1957-03-04,Lung cancer
Eve_Miller,Artist,1923-08-08,1973-08-17,Suicide
Evelio_Arias_Ramos,Artist,1966-09-10,2008-11-04,Dengue_disease
Evelyn_Venable,Artist,1913-10-18,1993-11-15,Cancer
Ewing_Mitchell,Artist,1910-12-29,1988-09-03,Stroke
Francess_Lantz,Artist,1952-08-27,2004-11-22,Ovarian cancer
Francis_A._Mallison,Other,1832-03-13,1877-06-22,Jaundice
Francis_C._Speight,Other,1816-05-16,1877-03-20,Pneumonia
Francis_Edgar_Stanley,Businessperson,1849-06-01,1918-07-13,Traffic collision
Francis_George_Atkinson,Other,,1902-12-06,Malaria
Francis_J._Banfield,Other,,1883-03-04,Tuberculosis
Francis_Oliver_Haddock,Other,1892-11-14,1934-02-03,Murder
Francisco_Javier_Muñiz,Politician,1795-12-21,1871-04-08,Yellow fever
Francisco_José_de_Caldas,Other,1768-10-04,1816-10-28,Execution by firing squad
Francys_Arsentiev,Other,1958-01-18,1998-05-24,Hypothermia
Frank_DeCicco,Other,1935-11-05,1986-04-13,Improvised explosive device
Frank_Ferguson,Artist,1906-12-25,1978-09-12,Cancer
Frank_Fertitta_Jr.,Other,1938-10-30,2009-08-21,Cardiovascular disease
Frank_G._Menke,Artist,1885-10-10,1954-05-13,Myocardial infarction
Frank_Joslyn_Baum,Other,1883-12-03,1958-12-02,Myocardial infarction
Frank_Moss_(lawyer),Activist,1860-03-16,1920-06-05,Cardiovascular disease
Frank_Ripploh,Artist,1949-09-02,2002-06-24,Cancer
Frank_Tinney,Artist,1878-03-29,1940-11-28,Lung
Frank_Wilcox,Artist,1907-03-17,"['1974-03-03', '1974-03-04']",Myocardial infarction
Frank_de_Kova,Artist,1910-03-17,1981-10-15,Heart failure
Frankie_Abernathy,Other,1981-12-21,2007-06-09,Cystic fibrosis
Frankie_Randall_(singer),Artist,1938-01-11,2014-12-28,Lung cancer
Franz_Schurmann,Other,1926-06-21,2010-08-20,Alzheimer's disease
François-Henri_de_Virieu,Other,1931-12-18,1997-10-27,Pancreatic cancer
Françoise_de_Langlade,Other,,1983-06-17,Bone tumor
Fred_Kohler,Artist,1888-04-20,1938-10-28,Myocardial infarction
Frederic_Kimber_Seward,Other,1878-03-23,1943-12-07,Heart failure
Frederic_Poole_Gorham,Other,1871-04-29,1933-06-04,Myocardial infarction
Frederick_Coffin,Artist,1943-01-16,2003-07-31,Lung cancer
Frederick_John_Harris,Activist,1937-07-04,1965-04-01,Hanging
Frederick_Kerr,Artist,1858-10-11,1933-05-03,Lung cancer
Frederick_Yuengling,Other,1848-01-26,1899-01-02,Pneumonia
Frei_Tito,Other,1945-09-14,1974-08-10,Suicide
Friedrich_Akel,Politician,1871-09-05,1941-07-03,NKVD
Fritz_Leiber_(Sr.),Artist,1882-01-31,1949-10-14,Myocardial infarction
Félix_Pissarro,Artist,1874-07-24,"['1897-11-25', '1897-11-29']",Tuberculosis
F._D._Reeve,Artist,1928-09-18,"['2013-06-28', '2018-09-13']",Diabetes mellitus
Fahd_al-Quso,Other,1974-11-12,2012-05-06,Central Intelligence Agency
Fang_Xiaoru,Other,,,Nine familial exterminations
Farzad_Kamangar,Activist,,2010-05-09,Capital punishment
Fauja_Singh_(Sikh_leader),Other,1936-05-17,1978-04-13,Martyr
Faustino_Rayo,Other,,1875-08-06,Death
Fay_Spain,Artist,1932-10-06,1983-05-08,Lymphoma
Fearon_Fallows,Other,1788-07-04,1831-07-25,Scarlet fever
Federal_Vanderburgh,Other,1788-05-11,1868-01-23,Dyspnea
Federico_Borrell_García,Other,1912-01-03,1936-09-05,Killed in action
Felisa_Vanoff,Artist,1925-06-11,2014-05-29,Cancer
Fidan_Doğan,Activist,1982-01-17,2013-01-09,Execution-style murder
Fiennes_Cornwallis,Other,1831-11-01,1867-04-24,Fox hunting
Fikret_Otyam,Artist,1926-12-19,2015-08-09,Renal failure
Florence_Bates,Artist,1888-04-15,1954-01-31,Myocardial infarction
Florence_Broadhurst,Artist,1899-07-28,1977-10-15,Murder
Florence_Sutro,Other,1865-05-01,1906-04-27,Pleurisy
Fond_du_Lac_County_Jane_Doe,Other,,,Homicide
Franca_Maï,Artist,1959-07-26,2012-02-08,Cancer
Francelia_Billington,Artist,1895-02-01,1934-11-24,Tuberculosis
Frances_Gifford,Artist,1920-12-07,1994-01-22,Chronic obstructive pulmonary disease
Gary_McFarland,Artist,1933-10-23,1971-11-03,Methadone
Gary_Miller_(singer),Artist,,1968-06-15,Myocardial infarction
Gaston_Calmette,Other,"['1858-06-30', '1858-07-30']",1914-03-16,Henriette Caillaux
Geoff_Workman,Other,1947-09-21,"['2010-01-21', '2010-01-28']",Liver failure
Geoffrey_Bowers,Other,1953-12-29,1987-09-30,AIDS
Geoffrey_Thompson_(businessman),Businessperson,1936-11-16,2004-06-12,Aneurysm
Georg_Maria_Stenz,Other,1869-11-22,1928-04-23,Stroke
Georg_Quistgaard,Other,1915-02-19,1944-05-21,Ballistic trauma
George_Allan_Hancock,Businessperson,1875-07-26,1965-05-31,Myocardial infarction
George_Andreasen,Other,1934-02-16,1989-08-11,Multiple myeloma
George_Arliss,Artist,1868-04-10,1946-02-05,Bronchitis
George_Ballas,Other,1925-06-28,2011-06-25,Lung cancer
George_D._Beveridge,Other,1922-01-05,1987-02-14,Leukemia
George_D._Prentice,Other,1802-12-18,1870-01-22,Influenza
George_Davenport,Businessperson,,1845-07-04,Murder
George_Doherty,Other,1920-09-05,1987-12-31,Cardiovascular disease
George_Dolenz,Artist,1908-01-05,1963-02-08,Myocardial infarction
George_Dovey,Other,1862-04-18,1909-06-19,Pulmonary hemorrhage
George_E._M._Kelly,Other,1878-12-11,1911-05-10,Aviation accidents and incidents
"George_E._Waring,_Jr.",Other,1833-07-04,1898-10-29,Yellow fever
George_Gastlin,Other,1835-04-01,1895-10-02,Bright's disease
George_Mason_III,Politician,,1735-03-05,Drowning
George_Mathews_(actor),Artist,1911-10-10,1984-11-08,Cardiovascular disease
George_Meade_Easby,Artist,1918-06-03,2005-12-11,Multiple organ dysfunction syndrome
George_Ralphs,Businessperson,1850-09-23,1914-06-21,Shock (circulatory)
George_Samuel_Dougherty,Other,1865-04-05,1931-07-16,Cancer
George_Siegmann,Artist,1882-02-08,1928-06-22,Pernicious anemia
George_Sluizer,Other,1932-06-25,2014-09-20,Cardiovascular disease
George_W._Dilks,Other,1816-12-16,1901-10-24,Death by natural causes
George_W._McClusky,Other,,1912-12-17,Pernicious anemia
George_W._Woodruff,Businessperson,1895-08-25,1987-02-04,Pneumonia
George_Went_Hensley,Other,1881-05-02,1955-07-25,Snakebite
George_Westmore,Artist,1879-06-27,1931-07-12,Mercury poisoning
George_Wilkins_Kendall,Other,1809-08-22,1867-10-21,Pneumonia
Georges_Anglade,Politician,1944-07-18,2010-01-12,2010 Haiti earthquake
Georges_V._Matchabelli,Businessperson,1885-07-23,1935-03-31,Pneumonia
Gerald_Archie_Mangun,Other,1919-03-11,2010-06-17,Stroke
Gerrit_Kleerekoper,Other,1897-02-15,1943-07-02,Nazism
Gertrude_T._Widener,Other,1897-07-08,1970-02-03,Cancer
Gertrude_Weaver,Other,1898-07-04,2015-04-06,Pneumonia
Gervase_Helwys,Other,1561-09-01,1615-11-20,Hanging
Giacinto_Ghia,Other,1887-09-18,1944-02-21,Myocardial infarction
Gil_Stratton,Artist,"['1922-06-02', '1922-07-02']",2008-10-11,Heart failure
Gilles_Jacquier,Other,1968-10-25,2012-01-11,Politics of Syria
Gilmore_Schjeldahl,Other,1912-06-01,2002-03-10,Alzheimer's disease
Gino_Piserchio,Artist,1944-09-05,1989-03-22,AIDS
G._Narasimhan,Other,1916-02-28,1977-07-05,Myocardial infarction
Gale_Robbins,Artist,1921-05-07,1980-02-18,Lung cancer
Galen_Porter,Other,,1883-03-30,Pneumonia
Garry_Walberg,Artist,1921-06-10,"['2012-03-26', '2012-03-27']",Respiratory disease
Girard_B._Henderson,Businessperson,1905-02-25,1983-11-16,Myocardial infarction
Giulio_Bosetti,Artist,1930-12-26,2009-12-24,Cancer
Glenda_Adams,Artist,1939-12-30,2007-07-11,Ovarian cancer
Glenn_Sarty,Other,1930-09-09,2007-02-06,Chronic obstructive pulmonary disease
Gobind_Behari_Lal,Other,1889-10-09,1982-04-01,Cancer
Goh_Poh_Seng,Artist,,2010-01-10,Parkinson's disease
Gonzalo_Martínez_Ortega,Artist,1934-04-27,1998-06-02,Traffic collision
Gordon_Cheesbrough,Businessperson,,2010-06-23,Lymphoma
Gordon_McKeag,Other,,2005-09-29,Myocardial infarction
Graham_Jarvis,Artist,1930-08-25,2003-04-16,Multiple myeloma
Graham_Mackay_(businessman),Businessperson,1949-07-26,2013-12-18,Brain tumor
Greg_Burson,Artist,1949-06-29,2008-07-22,Arteriosclerosis
Greg_Willard,Other,1958-11-05,2013-04-01,Pancreatic cancer
Gregory_Hemingway,Other,1931-11-12,2001-10-01,Hypertension
Gretchen_Wyler,Activist,1932-02-16,2007-05-27,Breast cancer
Grigori_Aleksandrov,Other,1903-01-23,1983-12-16,Pyelonephritis
Grzegorz_Przemyk,Artist,1964-05-17,1983-05-14,Milicja Obywatelska
Guillaume_Le_Testu,Other,1509-01-01,1573-04-29,Decapitation
Gus_Lawson,Other,1882-04-03,1913-09-13,Collision
Guy_Liddell,Other,1892-11-08,1958-12-03,Heart failure
Guy_Stockwell,Artist,1934-11-16,2002-02-06,Diabetes mellitus
Gwen_ferch_Ellis,Other,,,Hanging
Günter_Litfin,Other,"['1937-01-19', '1937-02-19']",1961-08-24,Schießbefehl
Herman_W._Hellman,Other,1843-09-25,1906-10-19,Diabetes mellitus
Hermann_Leuchs,Other,1879-08-26,1945-05-02,Suicide
Hermann_Møller_Boye,Other,1913-07-05,1944-06-12,Execution by firing squad
Hidetoshi_Nakamura,Artist,1954-07-12,2014-12-24,Subarachnoid hemorrhage
Hilda_Simms,Artist,1918-04-15,1994-02-06,Pancreatic cancer
Hildegard_Ochse,Other,1935-12-07,1997-06-28,Leukemia
Hildegard_Trabant,Other,1927-06-12,1964-08-18,Schießbefehl
Hilly_Kristal,Artist,1931-09-23,2007-08-28,Lung cancer
Hiram_Boardman_Conibear,Other,1871-09-05,1917-09-09,Falling (accident)
Hollis_B._Chenery,Other,1918-01-06,1994-09-01,Parkinson's disease
Homer_R._Warner,Other,1922-04-18,2012-11-30,Pancreatitis
Horace_Elgin_Dodge,Businessperson,1868-05-17,1920-12-10,Pneumonia
Horace_Stevens,Other,1876-10-26,1950-11-18,Coronary occlusion
Horacio_Gómez_Bolaños,Artist,"['1930-06-28', '1930-07-28']",1999-11-21,Myocardial infarction
Horrie_Knight,Businessperson,1915-12-01,1990-06-06,Esophageal cancer
Howard_Caine,Artist,"['1926-01-02', '1928-01-02']",1993-12-28,Myocardial infarction
Howard_Sochurek,Other,,1994-04-25,Liver cancer
Howard_Thompson_(film_critic),Other,1919-10-25,2002-03-10,Pneumonia
Howdy_Wilcox_II,Other,1905-02-20,"['1946-10-13', '1946-11-13']",Traffic collision
Hubert_Beaumont_Phipps,Other,1905-11-12,1969-08-16,Myocardial infarction
Hugh_Auchincloss_Steers,Artist,,1995-03-01,AIDS
Hugh_Bradner,Other,1915-11-05,2008-05-05,Pneumonia
Hugh_Reilly,Artist,1915-10-30,1998-07-17,Chronic obstructive pulmonary disease
Hugo_Avendaño,Artist,1927-03-08,1998-01-05,Pancreatic cancer
Hélio_Quaglia_Barbosa,Other,1941-11-25,2008-02-01,Organ dysfunction
Hanns-Joachim_Friedrichs,Other,"['1927-03-15', '1945-06-19']",1995-03-28,Lung cancer
Hans_Koch,Other,1893-08-16,1945-04-24,Extrajudicial killing
Hans_Quest,Artist,1915-08-20,1997-03-29,Cancer
Hans_Rosenthal,Other,1925-04-02,1987-02-10,Stomach cancer
Hara_Patnaik,Artist,1958-10-12,2015-01-13,Cancer
Harald_Christensen_(resistance_member),Other,1915-05-28,1945-02-27,Execution by firing squad
Harlan_D._Logan,Politician,,,Alzheimer's disease
Harley_Baldwin,Other,1945-04-17,2005-01-23,Kidney cancer
Harold_Gatty,Other,1903-01-05,1957-08-30,Stroke
Harold_Geiger,Other,1884-10-07,1927-05-17,Aviation accidents and incidents
Harold_Koplar,Businessperson,1915-02-27,1985-05-03,Myocardial infarction
Harold_Pierce,Businessperson,1917-08-11,1988-03-08,Prostate cancer
Harold_Sossen,Other,1924-07-26,2013-05-18,Stroke
Harold_Switzer,Artist,1925-01-16,1967-04-14,Suicide
Harold_Wertz,Artist,1927-08-03,1999-11-21,Stroke
Harry_Atwood,Other,1883-11-15,1967-07-14,Liver cancer
Harry_Baird_(actor),Artist,1931-05-12,2005-02-13,Cancer
Harry_Chandler,Businessperson,1864-05-17,1944-09-23,Myocardial infarction
Harry_Harris_(director),Other,1922-09-08,2009-03-19,Myelodysplastic syndrome
Harry_Hill_(sportsman),Other,1826-01-01,1896-08-27,Disease
Harry_J._Aleo,Businessperson,1919-12-07,2008-06-21,Cancer
Harry_M._Wegeforth,Other,1882-01-07,1941-06-25,Cardiovascular disease
Harry_Semels,Artist,1887-11-20,1946-03-02,Myocardial infarction
Harry_Z._Isaacs,Businessperson,1904-05-30,1990-09-23,Cancer
Harvey_Eisenberg,Artist,"['1911-02-11', '1912-02-11']",1965-04-22,Myocardial infarction
Hayley_Marie_Kohle,Other,1982-05-06,2008-10-11,Suicide
Hazel_Miner,Other,1904-04-11,1920-03-16,Hypothermia
He_Pingping,Other,1988-07-13,2010-03-13,Hypertensive heart disease
Heather_Stohler,Other,1979-11-29,2008-05-11,Fire
Hector_Barrantes,Other,,,Cancer
Hedvig_Charlotta_Nordenflycht,Other,1718-11-28,1763-06-29,Cancer
Heinrich_Rau,Politician,1899-04-02,1961-03-23,Myocardial infarction
Heinz_Sokolowski,Other,1917-12-17,1965-11-25,Schießbefehl
Helen_Dunbar,Artist,1863-10-10,1933-08-28,Arthritis
Helen_Gardiner,Activist,1938-07-18,2008-07-22,Cancer
Helen_Jerome_Eddy,Artist,1897-02-25,1990-01-27,Heart failure
Helen_Twelvetrees,Artist,1908-12-25,1958-02-13,Suicide methods
Helene_Demuth,Other,"['1820-12-31', '1851-06-23']","['1890-11-04', '1929-01-28']",Heart failure
Henio_Zytomirski,Other,1933-03-25,1942-11-09,Gas chamber
Henning_Andersen,Other,1917-07-16,1944-06-29,Ballistic trauma
Henning_Carlsen,Other,1927-06-04,2014-05-30,Death by natural causes
Henry_B_Bolster,Businessperson,1792-06-08,1859-07-21,Tuberculosis
Henry_Calvin,Artist,1918-05-25,1975-10-06,Head and neck cancer
Henry_Ernest_Searle,Other,1866-07-14,1889-12-10,Typhoid fever
Henry_Harold_Welch_Pearson,Other,1870-01-28,1916-11-03,Pneumonia
Henry_Hodge,Other,1944-01-12,2009-06-18,Liver failure
Henry_Hughes_(sociologist),Other,1829-04-17,1862-10-03,Rheumatism
Henry_Jenkins_(supercentenarian),Other,,,Death by natural causes
Henry_Lee_McFee,Artist,1886-04-14,1953-03-19,Pneumonia
Henry_Michell_Wagner,Other,1792-11-16,1870-10-07,Gout
Henry_Phillips_(horticulturist),Other,,1840-03-08,Enteritis
Henry_Sheldon,Other,1874-10-03,1948-05-14,Stomach cancer
Henryk_de_Kwiatkowski,Other,1924-02-22,2003-03-17,Pneumonia
Herb_Kaplow,Other,1927-02-02,2013-07-27,Stroke
Herbert_Anderson,Artist,"['1917-03-13', '1917-03-30']",1994-06-11,Stroke
Herbert_Greene_(Broadway_conductor),Other,1921-06-16,1985-09-25,Myocardial infarction
Herbert_Rudley,Artist,1910-03-22,2006-09-09,Myocardial infarction
Heriberto_Lazcano_Lazcano,Other,1974-12-25,2012-10-07,Ballistic trauma
Herman_Berlinski,Other,1910-08-18,2001-09-27,Stroke
Herman_Hollis,Other,1903-01-27,1934-11-27,Shootout
Habiba_Ahmed_Abd_Elaziz_Ramadan,Other,1986-11-22,2013-08-14,Sniper
Hakim_Abdul_Aziz,Other,,,Paralysis (disambiguation)
Hal_Price_Headley,Other,1888-12-19,1962-03-22,Myocardial infarction
"Hal_Roach,_Jr.",Other,1918-06-15,1972-03-29,Pneumonia
Hale_Hamilton,Artist,1880-02-28,1942-05-19,Cerebral hemorrhage
Halvar_Björk,Artist,1928-09-22,2000-11-12,Lung cancer
Hamdi_Lembarki,Activist,,2005-10-30,Head injury
Hanna_Neumann,Other,1914-02-12,1971-11-14,Intracranial aneurysm
Iain_Borb_MacLeod,Other,,,Exsanguination
Ian_Hendry,Artist,1931-01-13,1984-12-24,Perforated ulcer
Ibrahim_Shihata,Other,,2001-05-28,Liver disease
Ifeoma_Aggrey-Fynn,Other,,2015-06-02,Ballistic trauma
Ifti_Nasim,Other,,2011-07-22,Myocardial infarction
Igor_Ksenofontov,Other,1939-01-19,1999-06-13,Heart failure
Ilze_Rubene,Other,1958-07-17,2002-08-15,Traffic collision
Ingela_Agardh,Other,1948-10-27,2008-06-17,Breast cancer
Irene_Fenwick,Artist,1887-09-05,1936-12-24,Anorexia nervosa
Irene_Tedrow,Artist,1907-08-03,1995-03-10,Stroke
Šime_Spitzer,Other,1892-10-18,,The Holocaust
Žiga_Hirschler,Other,1894-03-21,,The Holocaust
Irving_Rosenthal,Businessperson,1895-12-05,1973-12-27,Myocardial infarction
Isaac_Cruikshank,Artist,,,Alcohol intoxication
Isaac_E._Smith,Other,1858-01-21,1940-09-27,Myocardial infarction
Isabel_Rosado,Politician,1907-11-05,2015-01-13,Death by natural causes
Isabella_Brant,Other,,1626-07-15,Bubonic plague
Isaiah_Rynders,Other,,1885-01-03,Apoplexy
Ischa_Meijer,Artist,1943-02-14,1995-02-14,Myocardial infarction
Isdal_Woman,Other,,,Blunt trauma
Ivana_Hirschmann,Other,1866-05-05,1943-05-08,The Holocaust
Ivica_Hiršl,Other,,,The Holocaust
Ivory_Quinby,Businessperson,1817-07-14,1869-10-23,Tuberculosis
Izidor_Gross,Other,1860-06-25,,The Holocaust
Jerry_Warren,Artist,1925-03-10,1988-08-21,Lung cancer
Jesse_Lewisohn,Businessperson,1872-01-01,1918-11-30,1918 flu pandemic
Jeyhun_Mirzayev,Artist,1946-04-09,1993-03-05,Myocardial infarction
Jim_Churchill,Other,,1930-01-19,Pneumonia
Jim_Graner,Other,1919-02-21,1976-01-15,Malignancy
Jim_Leslie_(Louisiana),Other,1937-10-27,1976-07-09,Assassination
Jim_Mees,Other,1955-08-10,2013-03-29,Pancreatic cancer
Jim_Ranchino,Other,1936-04-20,1978-11-07,Myocardial infarction
Jimmy_Cariggio,Other,,1914-03-03,Murder
Jimmy_Haggerty,Other,,1871-01-25,Murder
Jimmy_Hope,Other,,1905-06-02,Myocardial infarction
Jimmy_MacDonald_(sound_effects_artist),Artist,1906-05-19,1991-02-01,Heart failure
Jimmy_O'Neill_(DJ),Other,1940-01-08,2013-01-11,Diabetes mellitus
Jimmy_Snyder_(racing_driver),Other,1909-03-10,1939-06-29,Driver deaths in motorsport
Joakim_Puhk,Businessperson,1888-05-25,1942-09-14,NKVD
Joanna_Moore,Artist,1934-11-10,1997-11-22,Lung cancer
Joanne_M._Holden,Other,1946-09-05,2014-10-02,Cancer
Jock_Mahoney,Artist,1919-02-07,"['1989-12-14', '1989-12-15']",Stroke
Joe_Albi,Other,1892-10-05,1962-05-08,Amyotrophic lateral sclerosis
Joe_Cantada,Other,1942-03-15,1992-03-22,Lung cancer
Joe_Dougherty,Other,1898-11-04,"['1978-04-19', '1978-12-19']",Myocardial infarction
Joe_E._Lewis,Artist,1902-01-12,1971-06-04,Myocardial infarction
"Joe_Howard,_Jr.",Other,1833-06-03,1908-03-31,Renal failure
Joe_Hyams,Other,1923-06-06,2008-11-08,Coronary artery disease
Joe_Root_(Pennsylvania),Other,,,Death by natural causes
Joe_Vila,Artist,1866-09-16,1934-04-27,Heart failure
Joel_Erhardt,Other,1838-02-21,1909-09-08,Heart failure
Joelmir_Beting,Other,1936-12-21,2012-11-29,Stroke
Joey_Vento,Other,1939-12-18,2011-08-23,Myocardial infarction
Johan_Heyns,Other,1928-05-27,1994-11-05,Assassination
Johan_Kjær_Hansen,Other,1907-04-07,1944-06-29,Ballistic trauma
Johannes_Holzmann,Other,1882-10-30,1914-04-28,Typhus
John_Albert_Morris,Businessperson,,1895-05-25,Stroke
"John_Anthony_Copeland,_Jr.",Other,,1859-12-16,Hanging
John_Augustine_Hartford,Businessperson,1872-02-10,1951-09-20,Myocardial infarction
John_Axon_(actor),Artist,1960-09-10,2008-10-25,Myocardial infarction
John_Bailey_Shelton,Other,1875-03-19,1958-11-29,Major trauma
John_Bentley_Stringer,Other,1928-02-17,1979-05-04,Brain tumor
John_Berry_(film_director),Other,1917-09-06,1999-11-29,Pleurisy
John_Billington_(executioner),Other,,,Pleurisy
John_Blair_Scribner,Other,1850-06-04,1879-01-21,Pneumonia
John_Bloom_(actor),Artist,1944-02-19,1999-01-15,Heart failure
John_C._C._Mayo,Politician,1864-09-16,1914-05-11,Bright's disease
John_Carmichael_Jenkins,Other,1809-12-13,1855-10-14,Yellow fever
John_Cheever_Cowdin,Other,1889-03-17,1960-09-16,Myocardial infarction
John_Cyril_Porte,Other,1884-02-26,1919-10-22,Tuberculosis
John_Decker_(fire_chief),Other,1823-05-15,1892-11-18,Pneumonia
James_McCoubrey,Other,1901-09-13,"['2011-07-05', '2013-07-05']",Pneumonia
James_Millhollin,Artist,1915-08-23,1993-05-23,Cancer
